length	width	depth	strike	dip	rake	slip	lat	long
50.0    25.0    0.0     193.0    8.0     81.0   10.69937  40.19800  144.35000  #0A
50.0    25.0    0.0     193.0    8.0     81.0   20.49249  39.73800  144.33100  #0B
50.0    25.0    0.0     193.0    8.0     81.0   36.07903  39.30000  144.20000  #0C
50.0    25.0    0.0     193.0    8.0     81.0   30.64701  38.86200  144.06900  #0D
50.0    25.0    0.0     193.0    8.0     81.0   51.89282  38.42400  143.93900  #0E
50.0    25.0    0.0     193.0    8.0     81.0   69.14091  37.98600  143.81000  #0F
50.0    25.0    0.0     193.0    8.0     81.0   31.71521  37.54700  143.68200  #0G
50.0    25.0    0.0     193.0    8.0     81.0   22.45000  37.13500  143.40000  #0H
50.0    25.0    0.0     193.0    8.0     81.0   0.75876   36.73000  143.07000  #0I
50.0    25.0    0.0     193.0    8.0     81.0   4.33269   36.32500  142.74000  #0J
50.0    25.0    0.0     193.0    8.0     81.0   5.90494   35.90500  142.50400  #0K
50.0    25.0    3.5     193.0    8.0     81.0   0.83955   40.24809  144.06599  #1A
50.0    25.0    3.5     193.0    8.0     81.0   2.98178   39.78808  144.04888  #1B
50.0    25.0    3.5     193.0    8.0     81.0   13.70543  39.35008  143.91966  #1C
50.0    25.0    3.5     193.0    8.0     81.0   22.42549  38.91208  143.79040  #1D
50.0    25.0    3.5     193.0    8.0     81.0   37.38119  38.47408  143.66209  #1E
50.0    25.0    3.5     193.0    8.0     81.0   14.93235  38.03608  143.53475  #1F
50.0    25.0    3.5     193.0    8.0     81.0   19.12709  37.59708  143.40839  #1G
50.0    25.0    3.5     193.0    8.0     81.0   10.10815  37.18508  143.12788  #1H
50.0    25.0    3.5     193.0    8.0     81.0   0.00000   36.78008  142.79933  #1I
50.0    25.0    3.5     193.0    8.0     81.0   1.82686   36.37508  142.47074  #1J
50.0    25.0    3.5     193.0    8.0     81.0   2.53079   35.95508  142.23617  #1K
50.0    50.0    7.0     193.0   10.0     81.0   1.34193   40.29817  143.78198  #2A
50.0    50.0    7.0     193.0   10.0     81.0   0.22525   39.83817  143.76677  #2B
50.0    50.0    7.0     193.0   10.0     81.0   6.65320   39.40017  143.63932  #2C
50.0    50.0    7.0     193.0   10.0     81.0   16.89631  38.96217  143.51180  #2D
50.0    50.0    7.0     193.0   10.0     81.0   26.55203  38.52417  143.38519  #2E
50.0    50.0    7.0     193.0   10.0     81.0   24.67367  38.08617  143.25951  #2F
50.0    50.0    7.0     193.0   10.0     81.0   18.05900  37.64717  143.13478  #2G
50.0    50.0    7.0     193.0   10.0     81.0   4.82853   37.23517  142.85576  #2H
50.0    50.0    7.0     193.0   10.0     81.0   0.00000   36.83017  142.52866  #2I
50.0    50.0    7.0     193.0   10.0     81.0   0.60602   36.42517  142.20148  #2J
50.0    50.0    7.0     193.0   10.0     81.0   2.34911   36.00517  141.96835  #2K
50.0    50.0   15.6     193.0   12.0     81.0   0.65152   40.39778  143.21625  #3A
50.0    50.0   15.6     193.0   12.0     81.0   1.05907   39.93778  143.20484  #3B
50.0    50.0   15.6     193.0   12.0     81.0   0.00000   39.49978  143.08095  #3C
50.0    50.0   15.6     193.0   12.0     81.0   13.14356  39.06178  142.95688  #3D
50.0    50.0   15.6     193.0   12.0     81.0   15.54842  38.62378  142.83367  #3E
50.0    50.0   15.6     193.0   12.0     81.0   21.57936  38.18578  142.71131  #3F
50.0    50.0   15.6     193.0   12.0     81.0   10.87186  37.74678  142.58984  #3G
50.0    50.0   15.6     193.0   12.0     81.0   10.52515  37.33478  142.31381  #3H
50.0    50.0   15.6     193.0   12.0     81.0   2.12218   36.92978  141.98959  #3I
50.0    50.0   15.6     193.0   12.0     81.0   0.08015   36.52478  141.66523  #3J
50.0    50.0   15.6     193.0   12.0     81.0   1.96603   36.10478  141.43498  #3K
50.0    50.0   26.0     193.0   16.0     81.0   0.81556   40.49672  142.65351  #4A
50.0    50.0   26.0     193.0   16.0     81.0   0.00000   40.03672  142.64591  #4B
50.0    50.0   26.0     193.0   16.0     81.0   0.00000   39.59872  142.52555  #4C
50.0    50.0   26.0     193.0   16.0     81.0   2.81266   39.16072  142.40494  #4D
50.0    50.0   26.0     193.0   16.0     81.0   2.41194   38.72272  142.28513  #4E
50.0    50.0   26.0     193.0   16.0     81.0   14.26251  38.28472  142.16607  #4F
50.0    50.0   26.0     193.0   16.0     81.0   2.67436   37.84572  142.04786  #4G
50.0    50.0   26.0     193.0   16.0     81.0   4.47473   37.43372  141.77481  #4H
50.0    50.0   26.0     193.0   16.0     81.0   0.00000   37.02872  141.45347  #4I
50.0    50.0   26.0     193.0   16.0     81.0   2.75141   36.62372  141.13193  #4J
50.0    50.0   26.0     193.0   16.0     81.0   2.55339   36.20372  140.90455  #4K
