21414 178.219   48.968 0 
21419 155.717   44.435 0 
21401 152.583   42.617 0 
21418 148.645   38.727 0 
21413 152.132   30.533 0
52403 145.52    4.02 0
52406 164.977   -5.307 0
55012 158.453   -15.664 0
51425 183.68    -9.517 0
51407 203.455   19.57 0 
46404 231.267   45.853 0 
46407 231.168   42.682 0
46411 232.933   39.333 0
46412 239.437   32.492 0
43412 253.03300000000002    16.045 0
43413 259.91700000000003    11.012 0
32411 269.12    4.953 0
32412 273.626   -17.984 0
32413 266.483   -7.406 0
32401 286.579   -20.474 
